Date;1W;2W;3W;1M;2M;3M;4M;5M;6M;7M;8M;9M;10M;11M;12M
06/19/06;2 861;2 876;2 874;2 876;2 916;2 973;3 035;3 086;3 136;3,19;3 234;3 269;3 305;3 336;3,37
06/16/06;2 862;2 873;2 874;2 876;2 914;2 966;3 032;3 081;3,13;3 183;3 225;3 254;3,29;3 324;3 354
06/15/06;2 857;2 871;2 873;2 876;2 914;2 963;3 026;3 078;3 125;3 174;3 217;3,25;3 281;3 316;3 349
06/14/06;2 857;2 863;2 867;2 874;2 913;2 961;3 014;3 062;3,11;3 156;3 196;3 226;3 259;3 291;3 324
06/13/06;2 859;2 864;2,87;2 874;2 909;2 959;3 006;3,05;3 096;3 143;3,18;3 208;3 236;3 265;3 294
06.12.06;2 804;2 824;2 843;2 859;2 912;2 953;3 011;3 059;3 108;3 159;3 198;3 231;3 264;3 295;3 326
06.09.06;2 754;2 812;2 834;2 845;2 909;2 953;3 009;3,06;3 112;3 162;3,2;3 234;3 273;3 305;3 336
06.08.06;2 719;2 806;2 844;2 869;2 935;2,99;3 054;3 104;3 149;3 204;3 243;3 284;3 322;3 355;3 386
06.07.06;2 566;2 728;2 786;2 836;2 921;2 974;3 045;3 104;3 148;3 199;3 246;3 286;3 326;3 361;3 397
06.06.06;2 591;2 727;2 784;2 834;2 921;2 969;3 045;3 104;3 147;3 196;3 242;3 283;3 321;3 355;3 396
06.05.06;2 596;2 706;2 776;2 827;2 913;2 957;3 024;3,08;3 123;3 169;3 216;3 254;3 293;3 324;3 357
06.02.06;2 612;2 691;2 764;2 823;2 904;2,95;3 019;3 083;3 126;3 177;3 224;3 261;3 302;3 335;3 368
06.01.06;2 621;2 666;2 751;2 821;2 901;2 944;3 022;3 084;3 126;3 176;3 222;3 259;3 302;3 336;3 369
05/31/06;2 625;2 636;2 718;2 792;2 883;2 926;2 984;3 044;3,09;3 134;3 177;3 212;3 246;3 281;3 313
05/30/06;2 629;2 633;2 703;2 779;2 874;2 922;2 977;3,03;3 074;3 115;3 158;3 192;3 228;3 259;3 291
05/29/06;2 626;2 639;2 686;2 765;2,87;2 919;2 969;3 025;3 066;3 104;3 152;3 185;3 216;3 251;3 286
05/26/06;2 625;2 638;2 676;2 757;2 865;2 913;2 966;3 022;3 063;3 101;3 145;3 183;3 214;3 246;3 278
05/25/06;2 625;2 638;2 668;2 751;2,86;2,91;2 959;3 016;3 058;3 098;3,14;3 177;3 206;3 241;3 272
05/24/06;2 626;2 637;2 651;2 731;2 851;2 905;2 963;3 015;3 066;3 106;3 146;3 189;3 219;3 253;3 288
05/23/06;2 628;2 636;2 649;2 724;2 845;2 904;2 962;3 019;3 066;3 105;3 149;3 187;3 219;3 256;3 285
05/22/06;2 623;2 634;2 645;2 715;2 845;2 901;2 959;3 017;3 066;3 105;3 148;3 187;3 218;3 252;3 284
05/19/06;2 623;2 634;2 646;2 698;2 837;2 896;2 959;3 023;3 073;3 115;3 163;3 204;3 236;3 273;3 304
05/18/06;2 623;2 635;2 646;2 694;2 834;2 893;2 951;3 019;3 068;3 107;3 156;3 199;3,23;3 268;3,3
05/17/06;2 624;2 635;2 644;2 664;2 819;2 884;2 936;3 001;3 055;3 095;3 145;3 186;3 219;3 258;3 293
05/16/06;2 625;2 636;2 644;2 664;2 816;2 883;2 939;3 005;3 063;3 099;3 151;3 199;3,23;3 268;3 301
05/15/06;2 625;2 628;2 641;2 664;2 816;2 884;2 941;3 006;3 064;3 108;3,16;3 209;3 242;3 282;3 319
05.12.06;2 623;2 626;2 638;2 653;2 814;2 885;2 944;3 016;3 079;3 134;3 192;3 243;3,28;3 324;3 364
05.11.06;2 618;2 624;2 634;2 647;2,8;2 879;2 929;3 003;3 066;3 115;3 175;3 224;3 262;3 306;3 344
05.10.06;2 614;2 622;2 632;2 644;2 786;2 877;2 928;2 997;3 064;3 115;3 173;3 223;3 265;3 309;3 352
05.09.06;2 613;2 617;2 626;2 641;2 783;2 872;2 921;2 987;3 055;3 103;3,16;3 212;3 254;3 294;3 332
05.08.06;2 614;2 617;2 626;2,64;2 776;2 866;2,91;2,97;3 031;3 087;3,14;3 195;3 236;3 274;3 313
05.05.06;2 595;2 606;2 618;2 635;2 772;2 859;2 906;2 966;3 031;3 086;3 141;3 196;3 238;3 284;3 321
05.04.06;2,59;2 607;2 624;2 645;2 773;2 855;2 894;2 958;3 021;3 072;3 128;3,18;3 218;3 267;3 301
05.03.06;2 635;2 644;2 653;2 667;2 775;2 865;2 907;2 967;3 031;3 081;3 139;3 194;3 231;3 277;3 317
05.02.06;2 636;2 643;2 653;2 667;2 771;2,86;2 907;2 963;3,03;3 081;3 134;3 193;3 232;3 272;3 314
04/28/06;2 637;2 642;2 651;2 666;2 763;2 852;2 911;2 967;3 032;3 089;3 144;3 198;3 237;3 277;3 318
04/27/06;2 643;2 646;2 652;2 666;2 753;2 832;2 895;2 952;3 016;3 073;3 126;3 184;3,22;3 264;3 306
04/26/06;2,66;2 656;2 657;2 667;2,74;2 824;2 881;2,93;2 997;3 045;3 099;3 153;3 194;3,24;3 277
04/25/06;2 651;2 649;2,65;2 655;2 711;2,79;2 846;2 889;2 949;2 995;3 048;3 103;3 143;3 178;3 221
04/24/06;2 648;2 648;2 649;2 653;2 704;2 783;2 837;2 877;2 935;2 982;3 031;3 082;3 118;3 152;3,19
04/21/06;2 643;2 643;2 645;2 651;2 702;2 779;2 835;2 877;2 932;2 981;3 031;3 081;3 124;3 158;3 198
04/20/06;2 633;2 633;2 635;2 644;2 694;2 776;2,83;2 874;2 932;2 978;3,03;3 081;3 124;3 159;3,2
04/19/06;2 624;2 628;2 632;2 643;2 681;2,77;2 821;2,86;2 922;2 964;3 016;3 067;3 108;3 144;3 185
04/18/06;2,62;2 626;2 629;2 642;2 676;2 769;2 819;2 857;2 918;2 966;3,02;3 078;3 115;3 152;3 194
04/13/06;2 621;2 628;2 629;2,64;2 674;2 765;2 815;2 852;2 916;2 966;3 015;3 069;3 106;3 142;3 185
04.12.06;2 623;2 626;2,63;2 637;2 674;2 764;2 814;2 854;2 914;2 964;3 011;3 062;3 099;3 134;3 173
04.11.06;2 628;2 629;2 633;2 637;2 677;2 762;2 814;2 854;2 912;2 961;3 009;3 061;3 097;3,13;3 171
04.10.06;2,63;2 629;2 635;2 638;2 684;2 763;2 814;2 857;2 912;2 964;3 011;3,06;3 097;3 132;3 171
04.07.06;2 643;2 638;2 638;2 641;2 686;2 764;2 812;2 858;2 915;2 963;3 006;3 052;3 093;3 122;3 159
04.06.06;2 653;2 651;2 652;2 654;2 763;2 831;2 895;2 946;3 007;3 053;3,1;3 153;3 192;3 225;3,26
04.05.06;2 635;2 635;2 637;2 651;2 753;2 824;2 893;2 946;3 006;3 053;3 099;3 152;3 189;3 221;3,26
04.04.06;2 615;2 626;2 633;2 649;2 746;2 822;2 891;2 943;3 002;3 051;3 101;3 149;3 191;3 226;3 264
04.03.06;2 614;2 626;2 634;2 647;2 742;2 818;2 882;2 933;2 992;3 046;3 089;3 135;3 176;3 215;3 254
03/31/06;2 622;2 631;2 635;2 647;2 741;2 816;2 877;2 927;2 985;3 034;3 078;3 123;3 167;3 201;3 233
03/30/06;2 624;2,63;2 636;2 649;2 738;2 814;2 874;2 924;2 977;3 029;3 073;3 119;3 162;3 193;3 229
03/29/06;2 637;2 638;2 642;2 647;2 723;2 797;2,86;2 911;2 968;3 018;3 063;3 104;3 148;3,18;3 215
03/28/06;2 631;2 632;2 633;2,64;2,7;2 772;2 832;2 882;2 937;2 984;3 028;3 067;3 105;3 138;3 171
03/27/06;2 631;2 632;2 633;2 638;2 682;2 745;2 803;2,85;2 906;2 949;2 989;3 026;3,06;3,09;3 119
03/24/06;2,63;2 631;2 633;2 638;2 679;2 741;2 799;2,85;2 904;2 954;2 994;3 033;3 075;3 106;3 135
03/23/06;2 628;2 626;2,63;2 638;2 675;2 739;2 797;2 846;2 901;2 948;2 989;3 028;3 069;3 097;3 129
03/22/06;2 611;2 624;2 628;2 637;2 674;2 737;2 794;2 844;2 895;2,94;2 985;3 025;3 065;3 105;3 137
03/21/06;2 612;2 622;2 625;2 636;2 665;2 728;2,79;2 841;2,89;2 936;2,98;3 022;3 064;3 104;3 138
03/20/06;2 611;2 623;2 625;2 636;2,66;2 723;2 783;2 835;2 884;2 933;2 978;3 017;3 056;3 099;3 134
03/17/06;2 609;2 621;2 623;2 634;2 656;2 705;2 759;2 809;2 856;2 905;2 945;2 987;3 027;3 065;3 095
03/16/06;2 605;2 617;2 622;2 633;2 656;2 704;2 755;2 806;2 851;2 898;2 942;2 983;3 027;3 062;3 093
03/15/06;2 604;2 608;2 621;2 633;2 655;2 703;2 752;2 803;2 846;2 894;2 937;2 978;3 018;3 056;3 087
03/14/06;2 604;2 608;2 621;2 634;2 656;2 704;2 756;2 805;2,85;2 898;2,94;2 984;3 023;3 062;3 092
03/13/06;2 604;2 607;2 621;2 633;2 655;2 701;2 757;2 806;2 848;2 896;2 937;2,98;3 018;3 054;3 085
03.10.06;2 604;2 608;2 621;2 632;2 657;2 698;2 745;2 794;2 835;2 886;2 926;2 966;3 003;3 036;3,07
03.09.06;2 606;2 613;2 622;2 632;2 653;2 695;2 739;2 792;2,83;2 875;2 916;2 956;2 999;3 029;3 065
03.08.06;2 609;2 612;2 619;2 631;2 653;2 694;2 736;2 789;2 831;2 872;2 912;2 949;2 986;3 024;3 056
03.07.06;2 604;2 607;2 614;2 629;2 654;2 692;2 738;2 792;2 833;2 874;2 917;2 956;2 995;3 032;3 061
03.06.06;2 602;2 605;2 614;2 628;2 649;2 688;2 737;2 787;2 824;2 865;2 905;2 947;2 984;3 019;3 048
03.03.06;2 583;2 601;2 611;2 624;2 644;2 684;2 733;2 782;2 821;2 864;2 904;2 945;2 982;3 012;3 045
03.02.06;2 543;2,58;2 598;2 615;2 637;2 674;2 719;2 764;2 795;2 834;2 872;2 909;2 941;2 966;2 995
03.01.06;2 452;2,54;2 566;2 601;2,63;2 666;2 706;2 751;2,79;2 824;2 863;2 896;2 929;2 961;2 991
02/28/06;2 414;2 508;2 539;2 589;2 623;2 664;2 702;2 744;2 783;2 817;2 855;2 894;2 924;2 952;2 981
02/27/06;2 394;2,48;2 524;2 571;2 618;2 657;2 689;2 735;2 769;2 804;2,84;2 876;2,91;2 934;2 965
02/24/06;2 392;2 469;2 512;2 551;2 599;2 644;2 685;2 731;2 766;2 799;2 836;2 872;2 899;2 926;2 956
02/23/06;2 388;2 443;2 495;2 528;2 589;2 628;2 673;2 717;2 754;2 784;2 821;2 856;2 886;2 912;2 938
02/22/06;2 374;2 394;2 464;2 504;2 581;2 616;2,66;2 702;2 734;2 766;2 798;2 833;2 862;2 886;2 912
02/21/06;2 375;2,39;2 452;2 492;2 573;2 612;2 652;2 693;2 723;2 752;2 781;2 807;2 833;2 858;2 881
02/20/06;2 372;2 383;2 439;2 483;2 569;2 609;2 653;2 691;2,72;2 747;2 778;2 808;2 829;2 858;2,88
02/17/06;2 367;2 381;2 429;2 476;2 557;2 608;2 647;2 689;2 723;2 752;2 787;2 814;2 841;2 871;2 895
02/16/06;2 369;2 381;2 415;2 468;2 555;2 604;2,64;2 685;2 722;2 752;2 786;2 818;2 846;2 877;2 905
02/15/06;2 366;2 376;2 395;2 448;2 545;2 597;2 635;2 676;2 717;2 746;2 778;2 813;2 838;2 868;2 897
02/14/06;2 365;2 376;2 391;2 443;2 542;2 596;2 631;2 674;2 718;2 746;2 782;2 816;2 842;2 871;2 899
02/13/06;2 365;2 374;2 388;2 437;2 536;2 594;2 628;2 675;2 719;2,75;2 788;2 822;2 851;2 881;2 907
02.10.06;2 365;2 372;2 385;2 426;2 533;2 592;2 623;2 668;2 714;2 747;2 783;2 817;2 845;2 875;2 901
02.09.06;2 365;2 371;2 383;2 413;2,52;2 585;2 623;2 665;2 714;2 749;2 784;2 822;2,85;2 883;2 913
02.08.06;2 364;2 371;2,38;2 397;2 508;2 575;2 616;2 657;2 705;2 741;2 775;2 816;2 846;2 876;2 906
02.07.06;2 364;2 369;2 377;2,39;2 503;2 569;2 612;2 657;2 704;2 741;2 777;2 815;2 846;2 878;2 908
02.06.06;2 365;2 368;2 376;2 389;2 502;2,57;2 612;2 656;2 701;2 739;2 777;2 816;2 847;2 879;2 909
02.03.06;2 368;2 371;2 376;2 386;2 499;2,57;2 611;2 654;2 706;2 741;2 779;2 819;2 847;2 885;2 914
02.02.06;2 363;2 369;2 377;2 392;2,5;2 563;2 614;2 656;2 706;2 742;2 778;2 819;2,85;2 885;2 916
02.01.06;2 355;2 363;2 371;2,39;2 493;2 554;2 609;2 649;2 699;2 735;2 768;2 808;2 838;2 869;2,9
01/31/06;2 354;2 361;2,37;2 387;2 483;2 547;2 603;2 648;2 698;2 734;2 769;2 809;2 841;2 873;2 903
01/30/06;2 355;2 364;2 371;2 385;2 474;2 542;2 595;2 638;2 685;2 723;2 756;2 798;2 829;2 861;2,89
01/27/06;2 355;2 363;2 371;2 384;2 466;2 536;2 589;2,63;2 678;2 711;2 745;2 785;2 814;2 841;2 874
01/26/06;2 358;2 363;2 371;2 385;2 464;2 534;2 587;2 626;2 671;2 707;2 737;2 775;2 806;2 831;2,86
01/25/06;2,36;2 361;2 371;2 386;2 462;2 533;2 586;2 622;2 671;2 706;2 739;2 776;2 807;2 835;2 864
01/24/06;2 358;2 362;2 371;2 385;2 455;2 527;2 578;2 617;2 662;2 698;2 729;2 766;2 796;2 824;2 853
01/23/06;2 357;2 362;2,37;2 385;2 453;2 524;2 571;2,61;2 653;2 689;2 717;2 755;2 785;2 812;2 838
01/20/06;2 354;2 363;2,37;2 387;2 444;2,52;2 574;2 612;2 656;2 694;2 723;2 757;2 786;2 815;2 839
01/19/06;2 354;2 363;2 369;2 386;2,44;2 516;2 577;2 609;2 654;2 688;2 718;2 753;2 782;2 806;2,83
01/18/06;2 354;2 361;2 369;2 385;2 435;2 505;2 557;2 593;2,63;2 655;2 682;2,71;2 735;2 755;2 782
01/17/06;2 354;2 361;2 369;2 386;2 435;2 508;2,56;2 601;2 638;2,67;2 697;2 727;2 755;2 776;2 805
01/16/06;2 352;2 361;2 369;2 387;2 434;2 508;2 561;2 602;2 641;2 673;2 703;2 735;2 764;2 787;2 816
01/13/06;2 342;2 354;2 366;2 389;2 434;2 507;2 564;2 601;2 644;2 674;2 706;2 735;2 766;2 792;2 818
01.12.06;2 359;2 363;2 373;2 396;2 441;2 514;2 567;2 611;2 661;2 694;2 726;2 756;2 791;2 818;2 847
01.11.06;2,36;2 364;2 374;2 391;2 435;2 502;2 561;2 598;2 644;2 677;2 708;2 738;2 772;2 799;2 832
01.10.06;2 361;2 363;2 372;2 386;2 433;2 495;2 551;2 587;2 633;2 664;2 693;2 724;2 757;2 782;2 806
01.09.06;2,36;2 363;2 372;2 389;2 433;2 492;2 543;2 582;2,62;2 646;2 673;2 699;2 724;2 745;2 771
01.06.06;2 361;2 362;2,37;2 387;2 431;2 491;2 543;2 583;2 623;2 648;2 675;2 703;2 724;2 746;2 773
01.05.06;2,36;2 362;2 369;2,39;2,43;2,49;2 546;2 583;2 628;2 657;2 686;2 715;2 741;2 765;2,79
01.04.06;2 362;2 364;2 373;2 393;2 432;2 489;2 552;2 593;2,64;2 676;2 708;2 742;2 773;2 801;2 829
01.03.06;2 362;2 363;2 375;2 398;2 432;2 489;2 551;2 594;2 643;2 685;2 723;2 762;2 799;2 831;2 861
01.02.06;2 361;2 363;2 374;2 399;2 434;2 488;2,55;2 595;2 643;2 684;2 723;2 759;2 798;2 825;2 855
